电影中文名,电影英文名,电影详情页链接,导演,主演,上映年份,国籍,类型,评分,评分人数
活着,人生  /  Lifetimes,https://movie.douban.com/subject/1292365/,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994 ,中国大陆 中国香港,剧情 历史 家庭,9.3,954358人评价
怦然心动,Flipped,https://movie.douban.com/subject/3319755/,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010 ,美国,剧情 喜剧 爱情,9.1,2021870人评价
蝙蝠侠：黑暗骑士,The Dark Knight,https://movie.douban.com/subject/1851857/,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2008 ,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,1176121人评价
指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://movie.douban.com/subject/1291552/,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2003 ,美国 新西兰,剧情 动作 奇幻 冒险,9.3,896012人评价
我不是药神,中国药神  /  印度药神,https://movie.douban.com/subject/26752088/,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,2018 ,中国大陆,剧情 喜剧,9.0,2320820人评价
乱世佳人,Gone with the Wind,https://movie.douban.com/subject/1300267/,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,1939 ,美国,剧情 历史 爱情 战争,9.3,779880人评价
飞屋环游记,Up,https://movie.douban.com/subject/2129039/,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,2009 ,美国,剧情 喜剧 动画 冒险,9.1,1474779人评价
让子弹飞,让子弹飞一会儿  /  火烧云,https://movie.douban.com/subject/3742360/,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010 ,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,1893159人评价
哈尔的移动城堡,ハウルの動く城,https://movie.douban.com/subject/1308807/,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,2004 ,日本,爱情 动画 奇幻 冒险,9.1,1265378人评价
十二怒汉,12 Angry Men,https://movie.douban.com/subject/1293182/,西德尼·吕美特 Sidney Lumet,亨利·方达 Henry Fonda / 马丁...,1957 ,美国,剧情,9.4,567108人评价
素媛,소원,https://movie.douban.com/subject/21937452/,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013 ,韩国,剧情,9.3,765207人评价
海蒂和爷爷,Heidi,https://movie.douban.com/subject/25958717/,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,2015 ,德国 瑞士,剧情 冒险 家庭,9.3,758529人评价
猫鼠游戏,Catch Me If You Can,https://movie.douban.com/subject/1305487/,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,2002 ,美国 加拿大,传记 犯罪 剧情,9.1,1186416人评价
天空之城,天空の城ラピュタ,https://movie.douban.com/subject/1291583/,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986 ,日本,动画 奇幻 冒险,9.2,994200人评价
鬼子来了,Devils on the Doorstep,https://movie.douban.com/subject/1291858/,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000 ,中国大陆,剧情 喜剧,9.3,704378人评价
摔跤吧！爸爸,Dangal,https://movie.douban.com/subject/26387939/,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,2016 ,印度,剧情 传记 运动 家庭,9.0,1721906人评价
