电影名称,评分,简介
海街日记,8.8,暂无简介
疯狂的石头,8.6,暂无简介
风之谷,8.9,暂无简介
上帝之城,9.0,暂无简介
雨中曲,9.1,暂无简介
2001太空漫游,8.9,暂无简介
心迷宫,8.7,暂无简介
英雄本色,8.6,暂无简介
机器人之梦,9.1,暂无简介
记忆碎片,8.7,暂无简介
纵横四海,8.8,暂无简介
卢旺达饭店,8.9,暂无简介
无敌破坏王,8.7,暂无简介
小偷家族,8.7,暂无简介
恐怖游轮,8.5,暂无简介
冰川时代,8.7,暂无简介
牯岭街少年杀人事件,8.9,暂无简介
东京教父,9.0,暂无简介
魔女宅急便,8.7,暂无简介
岁月神偷,8.7,暂无简介
忠犬八公物语,9.2,暂无简介
芙蓉镇,9.3,暂无简介
荒蛮故事,8.7,暂无简介
遗愿清单,8.7,暂无简介
大佛普拉斯,8.7,暂无简介
源代码,8.6,暂无简介
疯狂的麦克斯4：狂暴之路,8.7,暂无简介
你看起来好像很好吃,8.9,暂无简介
贫民窟的百万富翁,8.6,暂无简介
花束般的恋爱,8.6,暂无简介
可可西里,8.9,暂无简介
城市之光,9.3,暂无简介
东邪西毒,8.6,暂无简介
波西米亚狂想曲,8.6,暂无简介
白日梦想家,8.6,暂无简介
爆裂鼓手,8.6,暂无简介
青蛇,8.6,暂无简介
爱乐之城,8.4,暂无简介
哈利·波特与死亡圣器(上),8.6,暂无简介
黑天鹅,8.6,暂无简介
终结者2：审判日,8.8,暂无简介
无耻混蛋,8.7,暂无简介
大红灯笼高高挂,8.8,暂无简介
初恋这件小事,8.5,暂无简介
新龙门客栈,8.7,暂无简介
人工智能,8.7,暂无简介
雨人,8.7,暂无简介
崖上的波妞,8.6,暂无简介
虎口脱险,8.9,暂无简介
千钧一发,8.8,暂无简介
罗生门,8.8,暂无简介
真爱至上,8.5,暂无简介
哈利·波特与凤凰社,8.6,暂无简介
彗星来的那一夜,8.6,暂无简介
恋恋笔记本,8.5,暂无简介
海边的曼彻斯特,8.6,暂无简介
火星救援,8.5,暂无简介
黑客帝国2：重装上阵,8.7,暂无简介
奇迹男孩,8.6,暂无简介
千年女优,8.8,暂无简介
步履不停,8.8,暂无简介
战争之王,8.7,暂无简介
萤火虫之墓,8.7,暂无简介
谍影重重2,8.7,暂无简介
攻壳机动队,9.0,暂无简介
蜘蛛侠：平行宇宙,8.6,暂无简介
冰雪奇缘,8.5,暂无简介
血钻,8.7,暂无简介
魂断蓝桥,8.8,暂无简介
房间,8.7,暂无简介
隐藏人物,8.9,暂无简介
小姐,8.5,暂无简介
